#	Isochrone	Z = 0.01900		Age = 	6.310e+07 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	7.80	6.45522022	6.4102	3.5938	3.7050	1.4170	-4.214	-2.284	-3.004	-3.990	-4.489	-4.935	-5.522	-5.962	-6.015	-0.05974290
	7.80	6.45683432	6.4116	3.5992	3.7158	1.4550	-4.228	-2.505	-3.127	-4.050	-4.527	-4.948	-5.493	-5.905	-5.956	-0.05972274
	7.80	6.48993111	6.4396	3.6860	3.8193	1.7840	-4.445	-3.929	-4.160	-4.523	-4.742	-4.954	-5.221	-5.398	-5.425	-0.05931194
	7.80	6.52606297	6.4700	3.7053	3.7978	1.6810	-4.493	-3.820	-4.063	-4.535	-4.810	-5.073	-5.382	-5.600	-5.642	-0.05886905
	7.80	6.53688240	6.4789	3.7089	3.7874	1.6362	-4.502	-3.743	-3.992	-4.522	-4.829	-5.116	-5.444	-5.681	-5.727	-0.05873755
	7.80	6.54421043	6.4849	3.7102	3.7779	1.5972	-4.506	-3.667	-3.915	-4.503	-4.842	-5.153	-5.495	-5.748	-5.798	-0.05864877
	7.80	6.54988384	6.4895	3.7098	3.7666	1.5528	-4.504	-3.533	-3.828	-4.477	-4.842	-5.172	-5.551	-5.828	-5.883	-0.05858020
	7.80	6.55441713	6.4931	3.7080	3.7556	1.5107	-4.500	-3.391	-3.738	-4.446	-4.834	-5.184	-5.597	-5.899	-5.958	-0.05852551
	7.80	6.55865669	6.4965	3.7051	3.7431	1.4641	-4.493	-3.211	-3.631	-4.403	-4.816	-5.190	-5.640	-5.972	-6.032	-0.05847445
	7.80	6.56386185	6.5006	3.6973	3.7270	1.4075	-4.473	-2.933	-3.473	-4.334	-4.787	-5.187	-5.692	-6.070	-6.125	-0.05841186
	7.80	6.56855249	6.5042	3.6814	3.7083	1.3490	-4.434	-2.553	-3.254	-4.223	-4.717	-5.156	-5.729	-6.158	-6.212	-0.05835555
	7.80	6.57453823	6.5087	3.6633	3.6778	1.2455	-4.388	-1.874	-2.881	-4.023	-4.586	-5.085	-5.790	-6.313	-6.373	-0.05828384
	7.80	6.60103464	6.5280	3.6363	3.6209	1.0461	-4.321	-0.475	-2.099	-3.528	-4.261	-4.899	-5.856	-6.613	-6.695	-0.05796823
	7.80	6.60442352	6.5303	3.6897	3.6134	0.9627	-4.454	-0.431	-2.116	-3.583	-4.343	-5.009	-6.001	-6.793	-6.879	-0.05792807
	7.80	6.60463285	6.5304	3.7025	3.6118	0.9438	-4.486	-0.429	-2.125	-3.599	-4.364	-5.036	-6.035	-6.834	-6.921	-0.05792560
	7.80	6.60496378	6.5306	3.7299	3.6091	0.9054	-4.555	-0.434	-2.151	-3.638	-4.414	-5.095	-6.107	-6.918	-7.006	-0.05792168
	7.80	6.60657358	6.5315	3.7833	3.6035	0.8298	-4.688	-0.445	-2.202	-3.712	-4.509	-5.210	-6.249	-7.084	-7.175	-0.05790263
	7.80	6.60719919	6.5318	3.8333	3.5986	0.7601	-4.813	-0.486	-2.264	-3.788	-4.602	-5.332	-6.384	-7.236	-7.331	-0.05789522
	7.80	6.60807180	6.5320	3.8959	3.5927	0.6741	-4.970	-0.557	-2.352	-3.887	-4.721	-5.493	-6.554	-7.424	-7.525	-0.05788490
	7.80	6.60905886	6.5322	3.9513	3.5877	0.5984	-5.108	-0.625	-2.434	-3.977	-4.826	-5.635	-6.703	-7.590	-7.697	-0.05787323
	7.80	6.61022139	6.5321	4.0079	3.5824	0.5207	-5.250	-0.699	-2.518	-4.069	-4.934	-5.781	-6.855	-7.760	-7.873	-0.05785949
	7.80	6.61126184	6.5318	4.0572	3.5777	0.4526	-5.373	-0.763	-2.591	-4.147	-5.027	-5.909	-6.987	-7.910	-8.028	-0.05784720
	7.80	6.61221170	6.5313	4.1046	3.5731	0.3868	-5.492	-0.816	-2.650	-4.211	-5.106	-6.029	-7.112	-8.044	-8.175	-0.05783598
	7.80	6.61294031	6.5306	4.1459	3.5689	0.3286	-5.595	-0.820	-2.651	-4.216	-5.138	-6.118	-7.220	-8.121	-8.294	-0.05782738
	7.80	6.61359167	6.5298	4.1849	3.5648	0.2730	-5.692	-0.820	-2.647	-4.217	-5.165	-6.201	-7.321	-8.193	-8.406	-0.05781969
	7.80	6.61440229	6.5285	4.2311	3.5614	0.2132	-5.808	-0.856	-2.680	-4.253	-5.223	-6.306	-7.440	-8.287	-8.534	-0.05781013
	7.80	6.61464834	6.5279	4.2590	3.5585	0.1736	-5.878	-0.859	-2.679	-4.255	-5.243	-6.366	-7.513	-8.338	-8.615	-0.05780722
	7.80	6.61487770	6.5273	4.2864	3.5555	0.1342	-5.946	-0.858	-2.675	-4.254	-5.261	-6.424	-7.585	-8.388	-8.694	-0.05780452
	7.80	6.61511087	6.5266	4.3136	3.5529	0.0965	-6.014	-0.866	-2.680	-4.261	-5.285	-6.484	-7.655	-8.440	-8.772	-0.05780177
	7.80	6.61518097	6.5264	4.3171	3.5525	0.0917	-6.023	-0.867	-2.680	-4.262	-5.288	-6.491	-7.664	-8.446	-8.781	-0.05780094
#	Isochrone	Z = 0.01900		Age = 	7.079e+07 yr
